Iteration k,H_04 (σ = 0.4),H_05 (σ = 0.5),H_06 (σ = 0.6)
0,-380.8588809718352,-380.8588809718352,-380.8588809718352
1,165.81846720428862,-362.28417416282474,165.81846720428862
2,599.8301410887719,-344.6153664946202,599.8301410887719
3,773.1727367278608,-327.80827674478024,773.1727367278608
4,647.2580570701938,-311.82087843450813,647.2580570701938
5,296.6131947405666,-296.61319474056427,296.6131947405666
6,-129.1395521064023,-282.1471985323852,-129.1395521064023
7,-467.14818358976834,-268.3867172844494,-467.14818358976834
8,-602.1475328131187,-255.2973426261226,-602.1475328131187
9,-504.08508169554403,-242.84634430280823,-504.08508169554403
10,-231.00258833326265,-231.00258833326257,-231.00258833326265
11,100.57398430595836,-219.73645915842465,100.57398430595836
12,363.8153711900947,-209.01978558709297,363.8153711900947
13,468.9529700793712,-198.8257703532731,468.9529700793712
14,392.58185635910206,-189.12892310905508,392.58185635910206
15,179.904996685465,-179.90499668546624,179.904996685465
16,-78.32709773409009,-171.1309264619189,-78.32709773409009
17,-283.33969597625855,-162.7847726926451,-283.33969597625855
18,-365.2209403214755,-154.84566564590438,-365.2209403214755
19,-305.7430571520939,-147.2937534187836,-305.7430571520939
20,-140.1101522970998,-140.11015229709966,-140.1101522970998
21,61.00120505101868,-133.27689953627745,61.00120505101868
22,220.6651771015247,-126.77690844513268,220.6651771015247
23,284.43435431644,-120.59392566024324,284.43435431644
24,238.11293232869644,-114.71249050407508,238.11293232869644
25,109.11789632523593,-109.11789632523497,109.11789632523593
26,-47.50778626203352,-103.79615372418183,-47.50778626203352
27,-171.85421272325823,-98.73395557244113,-171.85421272325823
28,-221.51769787405283,-93.91864373785225,-221.51769787405283
29,-185.44253815701762,-89.33817743264477,-185.44253815701762
30,-84.9811031051975,-84.98110310519736,-84.9811031051975
31,36.99910114286128,-80.83652580019273,36.99910114286128
32,133.8401954429928,-76.89408191555445,133.8401954429928
33,172.51815656848714,-73.14391328804362,172.51815656848714
34,144.42279393143392,-69.57664254271586,144.42279393143392
35,66.1833496445991,-66.1833496445995,66.1833496445991
36,-28.814928942998986,-62.955549593961926,-28.814928942998986
37,-104.23484901743232,-59.885171209390556,-104.23484901743232
38,-134.35727542957306,-56.9645369456353,-134.35727542957306
39,-112.47658500716068,-54.18634369574634,-112.47658500716068
40,-51.54364452950356,-51.54364452950267,-51.54364452950356
41,22.441089224953256,-49.0298313224682,22.441089224953256
42,81.17818203810621,-46.63861823223852,81.17818203810621
43,104.637551315892,-44.364025980560754,104.637551315892
44,87.59685248077398,-42.200366902023525,87.59685248077398
45,40.14223072193122,-40.14223072193082,40.14223072193122
46,-17.47713786136917,-38.18447102779712,-17.47713786136917
47,-63.22163173959037,-36.32219240063566,-63.22163173959037
48,-81.49180690349085,-34.55073817386086,-81.49180690349085
49,-68.22049730661752,-32.865678789196515,-68.22049730661752
50,-31.262800720472814,-31.262800720472733,-31.262800720472814
